Brand_names,Display_tech,Prices,sound,os,screen_size,Manufacture,Warenty
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
Blaupunkt,QLED,"₹37,799",60,Google TV,65,2022,1
KODAK,LED,"₹13,499",30,Linux TV,43,2024,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
acerpure,QLED,"₹20,999",30,Hz GTV,43,2025,1
TCL,Mini LED,"₹43,990",40,Google TV,55,2025,2
Samsung,LED,"₹26,990",20,Tizen TV,43,2024,2
TCL,Mini LED,"₹92,990",40,Google TV,75,2025,2
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Infinix,LED,"₹8,999",40,Google TV,32,2024,1
XIAOMI,QLED,"₹28,999",30,Google TV,43,2025,Enjoy
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Acer,QLED,"₹28,999",36,Google TV,55,2025,1
KODAK,LED,"₹5,999",20,Linux TV,24,2024,1
KODAK,QLED,"₹37,999",40,Google TV,65,2022,1
Panasonic,LED,"₹32,150",20,Android TV,50,2025,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
Infinix,QLED,"₹9,499",16,WebOS TV,32,2025,1
Hisense,QLED,"₹28,999",48,VIDAA TV,50,2025,1
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
XIAOMI,LED,"₹34,999",34,Google TV,55,2025,Enjoy
TCL,QLED,"₹64,990",35,Google TV,75,2024,2
Acer,LED,"₹11,999",30,Google TV,32,2024,1
LG,LED,"₹59,990",20,AI TV,65,2025,Warranty
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Coocaa,QLED,"₹9,499",20,Google TV,32,2025,1
Coocaa,QLED,"₹18,799",40,Google TV,43,2024,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
KODAK,LED,"₹15,499",30,Android TV,43,2023,1
MOTOROLA,Mini LED,"₹34,999",20,Google TV,55,2024,12
TOSHIBA,LED,"₹22,125",30,Google TV,43,2025,1
REDMI,LED,"₹11,999",20,Fire TV,32,2024,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
TCL,QLED,"₹34,990",35,Google TV,55,2024,2
Vu,QLED,"₹42,990",24,Google TV,65,2025,1
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
realme,QLED,"₹26,699",30,Google TV,50,2024,12
BESTON,LED,"₹10,999",20,Android TV,40,2025,2
